OMNIWeb Plus Browser Results

Listing for omni_min data from 20150317 to 20150318
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2015  76 18 24  -146
2015  76 18 25  -146
2015  76 18 26  -145
2015  76 18 27  -144
2015  76 18 28  -144
2015  76 18 29  -143
2015  76 18 30  -141
2015  76 18 31  -140
2015  76 18 32  -140
2015  76 18 33  -139
2015  76 18 34  -139
2015  76 18 35  -139
2015  76 18 36  -137
2015  76 18 37  -136
2015  76 18 38  -137
2015  76 18 39  -136
2015  76 18 40  -137
2015  76 18 41  -138
2015  76 18 42  -139
2015  76 18 43  -141
2015  76 18 44  -140
2015  76 18 45  -139
2015  76 18 46  -140
2015  76 18 47  -141
2015  76 18 48  -142
2015  76 18 49  -141
2015  76 18 50  -142
2015  76 18 51  -141
2015  76 18 52  -142
2015  76 18 53  -143
2015  76 18 54  -147
2015  76 18 55  -149
2015  76 18 56  -149
2015  76 18 57  -150
2015  76 18 58  -149
2015  76 18 59  -146
2015  76 19  0  -143
2015  76 19  1  -143
2015  76 19  2  -144
2015  76 19  3  -144
2015  76 19  4  -145
2015  76 19  5  -146
2015  76 19  6  -147
2015  76 19  7  -145
2015  76 19  8  -144
2015  76 19  9  -145
2015  76 19 10  -146
2015  76 19 11  -147
2015  76 19 12  -150
2015  76 19 13  -152
2015  76 19 14  -156
2015  76 19 15  -159
2015  76 19 16  -160
2015  76 19 17  -159
2015  76 19 18  -160
2015  76 19 19  -161
2015  76 19 20  -162
2015  76 19 21  -164
2015  76 19 22  -165
2015  76 19 23  -166
2015  76 19 24  -166
2015  76 19 25  -166
2015  76 19 26  -164
2015  76 19 27  -163
2015  76 19 28  -165
2015  76 19 29  -170
2015  76 19 30  -171
2015  76 19 31  -171
2015  76 19 32  -169
2015  76 19 33  -167
2015  76 19 34  -167
2015  76 19 35  -166
2015  76 19 36  -167
